,Day since planted,Humidity (%),Temperature (°C),Daily Sun Exposure (hours),Water pH Level,Nutrient Level,Sun Exposure Intensity (Lux),Visible Light Wavelength (nm),Temperature Deviation (°C),Humidity Deviation (%),Fan Speed (%),ETH (days)
0,14,57.73012790070132,45.99033154879003,16.649643450051236,6.793428306022465,0.0,10601.37232572359,652.7718372835338,36.77777623465565,74.50462104420659,46,120.71
1,25,74.37593022121833,38.869505243691535,17.710962658568963,5.52347139765763,0.8814994859866474,10600.83854604909,653.7381383325244,0.0,67.44524609436606,89,92.33
2,2,75.36033744088893,25.89445554880261,16.415160158000077,7.095377076201385,1.4623128065518625,10576.678422892659,653.1158796328515,35.721184748334174,72.41437563819507,0,108.22
3,19,84.45260691686812,15.29594833441639,17.38407694072192,8.84605971281605,4.0,10603.058376549374,653.9040083625177,21.49413913222412,85.7209759127655,93,95.62
4,39,47.66283273438347,35.47334970420385,14.212770666092428,5.331693250553328,2.7235190618938856,10622.190923472792,654.5716993785776,35.61186566296571,94.16784982545771,56,66.25
5,38,86.85134547694662,30.902280781326244,18.426587414745878,5.3317260861016385,0.2638739601701412,10586.063821856618,656.6743089726627,36.65397538532243,83.55730996295361,37,72.2
6,71,20.912167367944498,38.42789830041598,18.00241095072445,8.958425631014784,2.6318471762429283,10627.872687718911,654.3576819225885,49.11872591678736,76.52584812707654,61,7.06
7,17,62.40230895272379,34.52757702522954,16.365822737863617,7.334869458305818,0.0,10617.779946779518,651.8287485864608,45.301804714318045,97.47017655456642,78,120.41
8,40,65.23452315096911,40.743290729790026,19.0,4.861051228130096,3.4074983700531956,10595.783800204521,657.2801356929904,45.19857493915444,70.30745290422716,88,66.6
9,69,87.66653652142477,16.971471826591483,19.0,6.885120087171929,1.387537952636758,10606.452466527919,653.3258197327699,46.655054787493576,90.46379007550361,69,9.3
10,26,75.45261705353738,44.76091098451489,14.784880271262052,4.873164614375075,1.878272954639078,10637.769792537538,654.8825591457908,29.370684772239187,70.67905802473082,81,83.31
11,14,46.88873892287427,27.963994070385993,16.47455044286757,4.868540492859486,3.723535641804847,10622.203860643105,655.8930730138815,25.482776305552594,81.4653443701634,64,95.78
12,36,55.3001374836597,56.12891308937898,16.461715300425404,6.283924543132068,0.326687360840475,10609.158105788167,655.3992208368055,38.09225624767502,73.29656152814323,61,74.7
13,57,78.97360019094813,14.662182728656482,16.12019379778227,1.973439510684404,0.18374635935311123,10604.721700294702,657.188359095043,35.98121427149533,74.16221726020784,55,31.73
14,4,73.41865316270888,51.03945704747874,19.0,2.3501643349739343,1.2413208757501937,10610.37896326813,655.9580062867855,20.364006448926098,69.33920223806685,66,127.56
